state_code,state_name,date,agency,action,state_url
AL,Alabama,3/14/2025,DOJ,DOJ Withdrew From Biden-Era Suit Demanding Race-Based Election Maps,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,6/20/2025,DOJ,DOJ Filed a Statement Demanding Judges Not Force States to Draw Race-Based Voting Maps,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,7/22/2025,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Alabama's Support,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,4/4/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-alabama
AL,Alabama,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-alabama
AK,Alaska,7/2/2025,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Alaska's Support,https://www.justice.gov/crt/election-integrity-alaska
AK,Alaska,7/6/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-alaska
AK,Alaska,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-alaska
AK,Alaska,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-alaska
AZ,Arizona,5/20/2025,DOJ,DOJ Sent Arizona a Letter Demanding the State Require Voters Provide ID Information When They Register,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,1/6/2026,DOJ,DOJ Sued Arizona for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,6/6/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,7/21/2026,DOJ,DOJ Will Send Election Monitors to Maricopa County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,7/21/2026,DOJ,DOJ Will Send Election Monitors to Pima County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,7/21/2026,DOJ,DOJ Will Send Election Monitors to Apache County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-arizona
AZ,Arizona,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-arizona
AR,Arkansas,7/25/2025,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Arkansas' Support,https://www.justice.gov/crt/election-integrity-arkansas
AR,Arkansas,1/17/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-arkansas
AR,Arkansas,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-arkansas
AR,Arkansas,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-arkansas
CA,California,6/25/2025,DOJ,"DOJ Sued Orange County, CA for Withholding Voting Records and Registering Noncitizens to Vote",https://www.justice.gov/crt/election-integrity-california
CA,California,9/25/2025,DOJ,DOJ Sued California for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-california
CA,California,11/4/2025,DOJ,DOJ Sent Election Monitors to Fresno County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-california
CA,California,11/4/2025,DOJ,DOJ Sent Election Monitors to Los Angeles County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-california
CA,California,11/4/2025,DOJ,DOJ Sent Election Monitors to Kern County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-california
CA,California,11/4/2025,DOJ,DOJ Sent Election Monitors to Orange County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-california
CA,California,11/4/2025,DOJ,DOJ Sent Election Monitors to Riverside County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-california
CA,California,4/18/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-california
CA,California,5/7/2026,DOJ,DOJ Criminally Prosecutes California Woman for Paying People to Register to Vote,https://www.justice.gov/crt/election-integrity-california
CA,California,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-california
CA,California,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-california
CO,Colorado,12/12/2025,DOJ,DOJ Sued Colorado for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-colorado
CO,Colorado,5/16/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-colorado
CO,Colorado,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-colorado
CO,Colorado,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-colorado
CT,Connecticut,1/6/2026,DOJ,DOJ Sued Connecticut for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-connecticut
CT,Connecticut,6/27/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-connecticut
CT,Connecticut,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-connecticut
CT,Connecticut,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-connecticut
DE,Delaware,12/2/2025,DOJ,DOJ Sued Delaware for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-delaware
DE,Delaware,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-delaware
DE,Delaware,7/27/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-delaware
DE,Delaware,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-delaware
DC,District of Columbia,1/20/2025,DOJ,"President Trump Restores ""Justice for All"" to the Justice Department",https://www.justice.gov/crt/election-integrity-district-columbia
DC,District of Columbia,12/18/2025,DOJ,DOJ Sued D.C. for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-district-columbia
DC,District of Columbia,3/11/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-district-columbia
DC,District of Columbia,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-district-columbia
DC,District of Columbia,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-district-columbia
FL,Florida,7/4/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-florida
FL,Florida,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-florida
FL,Florida,8/14/2026,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Florida's Support,https://www.justice.gov/crt/election-integrity-florida
FL,Florida,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-florida
GA,Georgia,12/18/2025,DOJ,DOJ Sued Georgia for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-georgia
GA,Georgia,4/4/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-georgia
GA,Georgia,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-georgia
GA,Georgia,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-georgia
HI,Hawaii,12/12/2025,DOJ,DOJ Sued Hawaii for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-hawaii
HI,Hawaii,6/24/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-hawaii
HI,Hawaii,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-hawaii
HI,Hawaii,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-hawaii
ID,Idaho,4/1/2026,DOJ,DOJ Sued Idaho for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-idaho
ID,Idaho,4/4/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-idaho
ID,Idaho,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-idaho
ID,Idaho,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-idaho
IL,Illinois,7/8/2025,DOJ,DOJ Filed a Statement Demanding Illinois Maintain and Clean Voter Rolls,https://www.justice.gov/crt/election-integrity-illinois
IL,Illinois,12/18/2025,DOJ,DOJ Sued Illinois for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-illinois
IL,Illinois,1/31/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-illinois
IL,Illinois,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-illinois
IL,Illinois,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-illinois
IN,Indiana,3/21/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-indiana
IN,Indiana,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-indiana
IN,Indiana,7/14/2026,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Indiana's Support,https://www.justice.gov/crt/election-integrity-indiana
IN,Indiana,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-indiana
IA,Iowa,4/18/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-iowa
IA,Iowa,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-iowa
IA,Iowa,7/15/2026,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Iowa's Support,https://www.justice.gov/crt/election-integrity-iowa
IA,Iowa,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-iowa
KS,Kansas,6/20/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-kansas
KS,Kansas,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-kansas
KS,Kansas,8/14/2026,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Kansas' Support,https://www.justice.gov/crt/election-integrity-kansas
KS,Kansas,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-kansas
KY,Kentucky,3/27/2025,DOJ,DOJ Filed a Statement Demanding Judges Not Block Kentucky From Removing Out-of-State Voters From Its Rolls,https://www.justice.gov/crt/election-integrity-kentucky
KY,Kentucky,2/26/2026,DOJ,DOJ Sued Kentucky for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-kentucky
KY,Kentucky,4/4/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-kentucky
KY,Kentucky,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-kentucky
KY,Kentucky,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-kentucky
LA,Louisiana,1/24/2025,DOJ,DOJ Withdrew From Biden-Era Suit Demanding Race-Based Election Maps,https://www.justice.gov/crt/election-integrity-louisiana
LA,Louisiana,9/8/2025,DOJ,DOJ Inspected Federal Election Records to Ensure Only Eligible Americans Vote With Louisiana's Support,https://www.justice.gov/crt/election-integrity-louisiana
LA,Louisiana,5/13/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-louisiana
LA,Louisiana,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-louisiana
LA,Louisiana,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-louisiana
ME,Maine,9/16/2025,DOJ,DOJ Sued Maine for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-maine
ME,Maine,4/25/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-maine
ME,Maine,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-maine
ME,Maine,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-maine
MD,Maryland,3/4/2025,DOJ,DOJ Sent Election Monitors to Prince George's County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-maryland
MD,Maryland,12/2/2025,DOJ,DOJ Sued Maryland for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-maryland
MD,Maryland,5/9/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-maryland
MD,Maryland,5/22/2026,DOJ,DOJ Demanded Maryland Preserve Records After the State Printed and Mailed Erroneous Ballots,https://www.justice.gov/crt/election-integrity-maryland
MD,Maryland,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-maryland
MD,Maryland,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-maryland
MA,Massachusetts,12/12/2025,DOJ,DOJ Sued Massachusetts for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-massachusetts
MA,Massachusetts,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-massachusetts
MA,Massachusetts,7/18/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-massachusetts
MA,Massachusetts,9/1/2026,DOJ,DOJ Will Send Election Monitors to New Bedford County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-massachusetts
MA,Massachusetts,9/1/2026,DOJ,DOJ Will Send Election Monitors to Boston to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-massachusetts
MA,Massachusetts,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-massachusetts
MI,Michigan,9/25/2025,DOJ,DOJ Sued Michigan for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-michigan
MI,Michigan,6/20/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-michigan
MI,Michigan,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-michigan
MI,Michigan,8/4/2026,DOJ,DOJ Will Send Election Monitors to Lansing to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-michigan
MI,Michigan,8/4/2026,DOJ,DOJ Will Send Election Monitors to East Lansing to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-michigan
MI,Michigan,8/4/2026,DOJ,DOJ Will Send Election Monitors to Detroit to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-michigan
MI,Michigan,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-michigan
MN,Minnesota,9/25/2025,DOJ,DOJ Sued Minnesota for Failing to Provide Federal Election Records,https://www.justice.gov/crt/election-integrity-minnesota
MN,Minnesota,6/27/2026,DOJ,DOJ Ensures Primary Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-minnesota
MN,Minnesota,7/7/2026,DOJ,DOJ Warns State Officials of Their Criminal Liability Regarding Illegal Voting,https://www.justice.gov/crt/election-integrity-minnesota
MN,Minnesota,8/11/2026,DOJ,DOJ Will Send Election Monitors to Hennepin County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-minnesota
MN,Minnesota,8/11/2026,DOJ,DOJ Will Send Election Monitors to Ramsey County to Ensure Federal Law Compliance,https://www.justice.gov/crt/election-integrity-minnesota
MN,Minnesota,9/18/2026,DOJ,DOJ Ensures General Election Military Ballots Are Sent Early to Comply With Federal Law,https://www.justice.gov/crt/election-integrity-minnesota
